,freight_value,payment_installments,payment_value,review_score,days_to_delivery,delivery_days b/(w),review_response_days,freight_percent,late,repeat?
8521,14.52,2,54.42,4,-8,14,1,0.26681367144432194,1,1
62016,11.98,1,36.4,5,-5,15,1,0.3291208791208792,1,1
57015,12.72,1,202.71,5,-13,7,3,0.06274974100932366,1,1
31402,21.98,10,292.98,2,-20,5,3,0.07502218581473138,1,1
64023,19.15,9,99.14,5,-19,8,1,0.19316118620133144,1,1
11874,40.07,10,210.03,5,-23,17,1,0.19078226919963814,1,1
29891,15.76,9,94.76,5,-25,21,1,0.16631490080202616,1,1
4391,11.74,3,54.73,4,-6,14,3,0.21450758267860406,1,1
82255,8.72,3,35.72,5,-6,14,1,0.2441209406494961,1,1
93882,8.72,3,35.72,5,-6,14,1,0.2441209406494961,1,1
53491,12.93,3,37.93,4,-11,9,0,0.34089111521223303,1,1
38200,14.52,1,53.42,5,-17,21,3,0.2718083114938225,1,1
90078,20.43,1,67.42,5,-11,14,3,0.30302580836547016,1,1
38229,17.2,6,69.2,5,-13,21,0,0.24855491329479767,1,1
43470,14.52,5,52.42,5,-12,13,1,0.2769935139259824,1,1
7430,16.14,1,411.94,5,-13,17,3,0.03918046317424868,1,1
102230,15.56,1,75.46,5,-12,13,1,0.20620196130400215,1,1
113192,15.56,2,75.46,5,-12,13,1,0.20620196130400215,1,1
47307,9.34,1,29.33,5,-7,16,2,0.3184452778724855,1,1
49971,17.19,5,107.09,5,-11,16,1,0.16051918946680363,1,1
55144,1.44,4,92.1,5,-9,27,1,0.015635179153094463,1,1
44278,32.01,10,211.91,5,-10,51,0,0.15105469303005992,1,1
73297,15.1,6,212.36,5,-16,8,1,0.07110566961763043,1,1
100854,16.11,1,51.11,5,-11,15,1,0.3152025044022696,1,1
40270,16.11,1,51.11,5,-11,15,1,0.3152025044022696,1,1
61455,16.11,1,51.11,5,-11,15,1,0.3152025044022696,1,1
66924,12.03,1,87.03,5,-12,13,11,0.13822819717338847,1,1
81819,11.85,1,20.75,4,-11,11,1,0.5710843373493976,1,1
78191,12.69,1,52.59,4,-16,7,3,0.2413006274957216,1,1
46566,14.25,4,89.15,5,-3,18,1,0.15984296130117778,1,1
113269,16.79,4,66.69,5,-23,8,0,0.2517618833408307,1,1
20078,19.93,8,118.93,5,-10,15,2,0.1675775666358362,1,1
22051,7.78,4,52.68,2,-8,3,1,0.14768413059984814,1,1
36717,19.93,8,118.93,5,-10,15,5,0.1675775666358362,1,1
90330,15.1,1,50.0,5,-12,13,5,0.302,1,1
83883,9.34,1,61.84,4,-8,3,0,0.15103492884864164,1,1
44139,42.38,2,77.38,5,-22,13,2,0.5476867407598863,1,1
46719,18.92,10,256.91,5,-18,7,4,0.07364446693394575,1,1
64476,13.86,10,133.76,3,-4,17,0,0.10361842105263158,1,1
92561,71.02,1,400.92,5,-17,14,1,0.1771425720842063,1,1
108291,39.07,7,228.07,5,-31,-9,2,0.17130705485158065,0,1
107043,26.06,2,275.96,5,-4,23,3,0.09443397593854182,1,1
4958,16.94,1,115.94,4,-11,13,1,0.1461100569259962,1,1
